name	term	lev	seq	value
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g147070	0
"iduronate-2-sulfatase activity"	GO:0004423;GO:0008484	5	g145366	0
"iduronate-2-sulfatase activity"	GO:0004423;GO:0008484	5	g46706	0
"iduronate-2-sulfatase activity"	GO:0004423;GO:0008484	5	g58312	0.0647593373003741
"iduronate-2-sulfatase activity"	GO:0004423;GO:0008484	5	g87578	0
"iduronate-2-sulfatase activity"	GO:0004423;GO:0008484	5	g46704	0
"iduronate-2-sulfatase activity"	GO:0004423;GO:0008484	5	g81347	0
"xanthine dehydrogenase activity"	GO:0004854;GO:0016726	5	g111595	0
"xanthine dehydrogenase activity"	GO:0004854;GO:0016726	5	g72785	0
"xanthine dehydrogenase activity"	GO:0004854;GO:0016726	5	g82305	0
"xanthine dehydrogenase activity"	GO:0004854;GO:0016726	5	g88164	0
"xanthine dehydrogenase activity"	GO:0004854;GO:0016726	5	g146399	0
"sterol esterase activity"	GO:0004771	5	g59043	0
